noise_scale,circuit_type,estimated_cost,baseline_cost,optimal_cost,cost_gap,normalized_accuracy,retained_accuracy
1.0,standard,124.53619693987662,124.55451745700091,114.13374999999999,10.402446939876626,0.08770047387835685,0.998241922468773
1.0,biological,124.63365407661679,124.75320729126008,114.13374999999999,10.4999040766168,0.086957247063768,0.9887420598469111
2.0,standard,124.51913075537894,124.55451745700091,114.13374999999999,10.385380755378947,0.08783193302758512,0.9966042134835088
2.0,biological,124.55811673793275,124.75320729126008,114.13374999999999,10.424366737932758,0.08753220401089384,0.9816289525936609
4.0,standard,124.48826930873544,124.55451745700091,114.13374999999999,10.354519308735448,0.08807065916305795,0.993642680489817
4.0,biological,124.47003730245376,124.75320729126008,114.13374999999999,10.33628730245377,0.0882123020809068,0.9733347965870749
8.0,standard,124.4367340865053,124.55451745700091,114.13374999999999,10.302984086505305,0.0884722116165682,0.9886972460539376
8.0,biological,124.38216663523252,124.75320729126008,114.13374999999999,10.24841663523253,0.08890140118634819,0.9650602996131517
16.0,standard,124.35811627627619,124.55451745700091,114.13374999999999,10.2243662762762,0.08909188950057681,0.9811529062964769
16.0,biological,124.30033930436328,124.75320729126008,114.13374999999999,10.166589304363285,0.08955285922526544,0.9573548841079177
32.0,standard,124.23730726925817,124.55451745700091,114.13374999999999,10.103557269258175,0.09006122774443164,0.9695598055467943
32.0,biological,124.24001857456963,124.75320729126008,114.13374999999999,10.10626857456964,0.09003924164860648,0.9516746757753045
64.0,standard,124.04378742692349,124.55451745700091,114.13374999999999,9.910037426923495,0.09165871397766492,0.9509892114774805
64.0,biological,124.131773827943,124.75320729126008,114.13374999999999,9.998023827943001,0.09092542584416581,0.9414816175372225
128.0,standard,123.82926305508556,124.55451745700091,114.13374999999999,9.69551305508557,0.09349715108098659,0.9304029760852108
128.0,biological,123.85627373079343,124.75320729126008,114.13374999999999,9.72252373079344,0.09326162619049783,0.9155386630534468
